tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0054698,movie,Breakfast at Tiffany's,Breakfast at Tiffany's,0,1961,\N,115,"Comedy,Drama,Romance",7.6,189924
tt0055254,movie,One Hundred and One Dalmatians,One Hundred and One Dalmatians,0,1961,\N,79,"Adventure,Animation,Comedy",7.3,179631
tt0055614,movie,West Side Story,West Side Story,0,1961,\N,153,"Crime,Drama,Musical",7.6,119804
tt0055630,movie,Yojimbo,Yôjinbô,0,1961,\N,110,"Action,Drama,Thriller",8.2,129522
tt0055928,movie,Dr. No,Dr. No,0,1962,\N,110,"Action,Adventure,Thriller",7.2,177351
tt0056172,movie,Lawrence of Arabia,Lawrence of Arabia,0,1962,\N,218,"Adventure,Biography,Drama",8.3,309601
tt0056193,movie,Lolita,Lolita,0,1962,\N,153,"Crime,Drama,Romance",7.5,107477
tt0056592,movie,To Kill a Mockingbird,To Kill a Mockingbird,0,1962,\N,129,"Crime,Drama",8.3,329344
tt0056801,movie,8½,8½,0,1963,\N,138,Drama,8,123841
tt0056869,movie,The Birds,The Birds,0,1963,\N,119,"Drama,Horror,Mystery",7.6,202007
tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,1964,\N,95,"Comedy,War",8.4,511851
tt0057076,movie,From Russia with Love,From Russia with Love,0,1963,\N,115,"Action,Adventure,Thriller",7.3,143484
tt0057115,movie,The Great Escape,The Great Escape,0,1963,\N,172,"Adventure,Drama,History",8.2,255999
tt0057546,movie,The Sword in the Stone,The Sword in the Stone,0,1963,\N,79,"Adventure,Animation,Comedy",7.1,105059
tt0058150,movie,Goldfinger,Goldfinger,0,1964,\N,110,"Action,Adventure,Thriller",7.7,200231
tt0058331,movie,Mary Poppins,Mary Poppins,0,1964,\N,139,"Comedy,Family,Fantasy",7.8,183474
tt0058385,movie,My Fair Lady,My Fair Lady,0,1964,\N,170,"Drama,Family,Musical",7.7,100515
tt0058461,movie,A Fistful of Dollars,Per un pugno di dollari,0,1964,\N,99,"Action,Drama,Western",7.9,229239
tt0059578,movie,For a Few Dollars More,Per qualche dollaro in più,0,1965,\N,132,"Drama,Western",8.2,270608
tt0059742,movie,The Sound of Music,The Sound of Music,0,1965,\N,172,"Biography,Drama,Family",8.1,255825
tt0059800,movie,Thunderball,Thunderball,0,1965,\N,130,"Action,Adventure,Thriller",6.9,125647
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",0,1966,\N,161,"Adventure,Western",8.8,799832
tt0060827,movie,Persona,Persona,0,1966,\N,85,"Drama,Thriller",8.1,128852
tt0061418,movie,Bonnie and Clyde,Bonnie and Clyde,0,1967,\N,111,"Action,Biography,Crime",7.7,119167
tt0061512,movie,Cool Hand Luke,Cool Hand Luke,0,1967,\N,127,"Crime,Drama",8.1,186504
tt0061722,movie,The Graduate,The Graduate,0,1967,\N,106,"Comedy,Drama,Romance",8,285942
tt0061852,movie,The Jungle Book,The Jungle Book,0,1967,\N,78,"Adventure,Animation,Comedy",7.6,195902
tt0062512,movie,You Only Live Twice,You Only Live Twice,0,1967,\N,117,"Action,Adventure,Thriller",6.8,116157
tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,\N,149,"Adventure,Sci-Fi",8.3,708530
tt0063350,movie,Night of the Living Dead,Night of the Living Dead,0,1968,\N,96,"Horror,Thriller",7.8,137406
tt0063442,movie,Planet of the Apes,Planet of the Apes,0,1968,\N,112,"Adventure,Sci-Fi",8,190161
tt0063522,movie,Rosemary's Baby,Rosemary's Baby,0,1968,\N,137,"Drama,Horror",8,231823
tt0064115,movie,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,0,1969,\N,110,"Biography,Crime,Drama",8,224822
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,0,1968,\N,166,Western,8.5,345395
tt0064276,movie,Easy Rider,Easy Rider,0,1969,\N,95,"Adventure,Drama",7.3,115809
tt0064665,movie,Midnight Cowboy,Midnight Cowboy,0,1969,\N,113,Drama,7.8,118451
tt0065421,movie,The Aristocats,The AristoCats,0,1970,\N,78,"Adventure,Animation,Comedy",7.1,112874
tt0066206,movie,Patton,Patton,0,1970,\N,172,"Biography,Drama,War",7.9,106972
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,"Crime,Sci-Fi",8.3,870302
tt0066995,movie,Diamonds Are Forever,Diamonds Are Forever,0,1971,\N,120,"Action,Adventure,Thriller",6.5,112869
tt0066999,movie,Dirty Harry,Dirty Harry,0,1971,\N,102,"Action,Crime,Thriller",7.7,166359
tt0067116,movie,The French Connection,The French Connection,0,1971,\N,104,"Action,Crime,Drama",7.7,133247
tt0067992,movie,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,0,1971,\N,100,"Family,Fantasy,Musical",7.8,221519
tt0068473,movie,Deliverance,Deliverance,0,1972,\N,109,"Adventure,Drama,Thriller",7.7,117824
tt0068646,movie,The Godfather,The Godfather,0,1972,\N,175,"Crime,Drama",9.2,1980006
tt0070034,movie,Enter the Dragon,Enter the Dragon,0,1973,\N,102,"Action,Crime,Thriller",7.6,111710
tt0070047,movie,The Exorcist,The Exorcist,0,1973,\N,122,Horror,8.1,448129
tt0070328,movie,Live and Let Die,Live and Let Die,0,1973,\N,121,"Action,Adventure,Thriller",6.7,114123
tt0070379,movie,Mean Streets,Mean Streets,0,1973,\N,112,"Crime,Drama,Thriller",7.2,117703
tt0070511,movie,Papillon,Papillon,0,1973,\N,151,"Biography,Crime,Drama",8,137049
tt0070608,movie,Robin Hood,Robin Hood,0,1973,\N,83,"Adventure,Animation,Comedy",7.5,136846
tt0070666,movie,Serpico,Serpico,0,1973,\N,130,"Biography,Crime,Drama",7.7,132669
tt0070735,movie,The Sting,The Sting,0,1973,\N,129,"Comedy,Crime,Drama",8.3,275957
tt0071230,movie,Blazing Saddles,Blazing Saddles,0,1974,\N,93,"Comedy,Western",7.7,149251
tt0071315,movie,Chinatown,Chinatown,0,1974,\N,130,"Drama,Mystery,Thriller",8.2,344467
tt0071360,movie,The Conversation,The Conversation,0,1974,\N,113,"Drama,Mystery,Thriller",7.8,119360
tt0071562,movie,The Godfather Part II,The Godfather Part II,0,1974,\N,202,"Crime,Drama",9,1343976
tt0071807,movie,The Man with the Golden Gun,The Man with the Golden Gun,0,1974,\N,125,"Action,Adventure,Thriller",6.7,111794
tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,\N,91,"Adventure,Comedy,Fantasy",8.2,564350
tt0072271,movie,The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,0,1974,\N,83,Horror,7.4,180377
tt0072431,movie,Young Frankenstein,Young Frankenstein,0,1974,\N,106,Comedy,8,167199
tt0072684,movie,Barry Lyndon,Barry Lyndon,0,1975,\N,185,"Adventure,Drama,War",8.1,180102
tt0072890,movie,Dog Day Afternoon,Dog Day Afternoon,0,1975,\N,125,"Biography,Crime,Drama",8,270344
tt0073195,movie,Jaws,Jaws,0,1975,\N,124,"Adventure,Mystery,Thriller",8.1,649828
