id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
596863787629624600,Rental unit in Chicago · ★4.88 · 2 bedrooms · 2 beds · 2 baths,429410420,Yval,NA,Portage Park,41.96772103291259,-87.76889900985337,Entire home/apt,48,2,65,2023-12-10,3.17,9,106,48,R23000098305
596863939924134900,Rental unit in Chicago · ★4.71 · 3 bedrooms · 3 beds · 1 bath,429410420,Yval,NA,Portage Park,41.96543,-87.76666,Entire home/apt,54,1,52,2023-12-11,2.67,9,103,33,R22000093441
599852600921366800,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,NA,Near North Side,41.89286449999999,-87.61651669999999,Entire home/apt,159,32,0,NA,NA,643,230,0,NA
597020328083592400,Condo in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 private bath,210952229,Alonso,NA,Near West Side,41.87299,-87.69103,Private room,48,32,3,2023-01-07,0.18,1,351,1,NA
597040225545825500,Rental unit in Chicago · ★4.74 · 1 bedroom · 2 beds · 1 bath,429410420,Yval,NA,Portage Park,41.96715,-87.76698,Entire home/apt,59,1,23,2023-12-05,1.12,9,162,18,R23000098305
599853040833393200,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,NA,Near North Side,41.89829,-87.6287,Entire home/apt,133,32,0,NA,NA,643,228,0,NA
599855118803818800,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,NA,Near North Side,41.89829,-87.6287,Entire home/apt,106,32,0,NA,NA,643,303,0,NA
597351097620761600,Rental unit in Chicago · 4 bedrooms · 3 beds · 2 baths,11036600,Mari,NA,Lake View,41.93903,-87.66449,Entire home/apt,199,32,0,NA,NA,10,180,0,NA
599857637500520400,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,NA,Edgewater,41.98397,-87.65545,Entire home/apt,123,32,1,2023-04-06,0.12,643,290,1,NA
600016095186794900,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,100782278,Chicago Furnished,NA,Lower West Side,41.8556,-87.65992,Entire home/apt,53,32,6,2023-11-20,0.37,34,364,4,NA
600581181037800200,Guest suite in Chicago · ★4.90 · 1 bedroom · 2 beds · 1 bath,308296108,Ragan,NA,Mckinley Park,41.82837,-87.67278,Entire home/apt,80,2,68,2023-11-16,3.72,1,83,38,R22000080430
597783098841871500,Condo in Chicago · ★4.89 · 3 bedrooms · 4 beds · 1 bath,452720171,Sam,NA,Lincoln Park,41.930016,-87.653419,Entire home/apt,200,2,107,2023-12-03,5.38,1,0,67,R22000081287
597869922106618e3,Condo in Chicago · ★4.90 · 2 bedrooms · 2 beds · 2 baths,401070165,Niel,NA,Lake View,41.94271,-87.66527,Entire home/apt,350,32,21,2023-10-10,1.08,2,361,6,R22000081933
598408925781457400,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,NA,Near West Side,41.88501,-87.64403,Entire home/apt,116,32,0,NA,NA,643,337,0,NA
598413122047211500,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,NA,Loop,41.8860812,-87.63422229999998,Entire home/apt,166,32,0,NA,NA,643,130,0,NA
598541133221499400,Home in Chicago · ★4.82 · 2 bedrooms · 2 beds · 2 baths,94425307,Jamie,NA,West Town,41.90466,-87.69258,Entire home/apt,300,2,22,2023-10-08,1.16,1,364,8,R21000060997
598554885297228e3,Rental unit in Chicago · ★4.41 · 1 bedroom · 1 bed · 1 bath,395298252,Bailey,NA,Lake View,41.94238,-87.64741,Entire home/apt,82,1,63,2023-11-26,3.74,5,0,48,R22000086133
598593646502067500,Rental unit in Chicago · ★4.87 · 1 bedroom · 1 bed · 1 bath,435770634,Nico And Dyan,NA,Rogers Park,42.00765,-87.66817,Entire home/apt,56,1,52,2023-11-26,2.61,8,0,35,R23000095979
600591753384714400,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,100782278,Chicago Furnished,NA,Lower West Side,41.8552,-87.65978,Entire home/apt,109,32,4,2023-03-31,0.22,34,301,1,R32323232323
613103168399217500,Condo in Chicago · ★4.88 · 2 bedrooms · 3 beds · 2 baths,98193524,Mary And JW,NA,Loop,41.871098,-87.624046,Entire home/apt,151,2,72,2023-12-11,3.7,26,0,37,R22000081987
613282909540891800,Rental unit in Chicago · ★5.0 · 1 bedroom · 2 beds · 1 bath,9851063,Jason,NA,West Town,41.895721,-87.675705,Entire home/apt,123,2,15,2023-09-04,0.97,6,207,8,R22000081407
613836997434550900,Rental unit in Chicago · ★4.77 · 3 bedrooms · 4 beds · 1 bath,126543638,Alec,NA,Brighton Park,41.81729,-87.68579,Entire home/apt,103,2,62,2023-11-27,3.27,4,361,40,R22000081836
600622184724170900,Rental unit in Chicago · ★5.0 · 2 bedrooms · 2 beds · 1 bath,100782278,Chicago Furnished,NA,Lower West Side,41.85724,-87.65988,Entire home/apt,16,32,3,2023-08-19,0.25,34,362,3,NA
614470348798268300,Rental unit in Chicago · ★4.80 · 1 bedroom · 1 bed · 1 bath,5228189,Matthew,NA,West Town,41.91075,-87.67192,Entire home/apt,97,2,71,2023-12-01,3.62,24,363,42,R22000081491
614553361349129500,Home in Chicago · ★4.75 · 1 bedroom · 1 bed · 2 shared baths,246839504,Silvia,NA,Woodlawn,41.78438,-87.6077,Private room,45,2,64,2023-11-14,3.23,5,0,35,R21000062932
614569250885720600,Rental unit in Chicago · 1 bedroom · 1 bed · 1 shared bath,257850882,Manuel,NA,Rogers Park,42.00522379886269,-87.67095942509216,Private room,26,32,0,NA,NA,2,72,0,2912781
614631484350436600,Rental unit in Chicago · ★4.73 · Studio · 1 bed · 1 bath,273591286,Regina,NA,Edgewater,41.98822,-87.65694,Entire home/apt,67,1,84,2023-11-28,4.49,16,68,46,R22000080900
614652820447520800,Rental unit in Chicago · ★4.72 · 1 bedroom · 1 bed · 1 bath,273591286,Regina,NA,Edgewater,41.99019,-87.65554,Entire home/apt,59,1,75,2023-12-01,3.77,16,0,33,R22000080899
600672336575869200,Rental unit in Chicago · ★4.80 · 2 bedrooms · 2 beds · 1 bath,100782278,Chicago Furnished,NA,Lower West Side,41.85514,-87.66032,Entire home/apt,74,32,5,2023-08-11,0.3,34,287,1,R22000077682
614809035673828e3,Rental unit in Chicago · 1 bedroom · 2 beds · 1 shared bath,1770452,Alexandria,NA,Near South Side,41.86641,-87.62329,Shared room,50,32,0,NA,NA,2,35,0,NA
600799641191094700,Vacation home in Chicago · ★4.90 · 4 bedrooms · 9 beds · 3 baths,447272522,Ravenswood Properties,NA,Lake View,41.94564,-87.6735,Entire home/apt,588,2,10,2023-09-25,0.86,1,358,10,R22000086009
600944319053361700,Home in Chicago · ★4.50 · 1 bedroom · 1 bed · 2 shared baths,22094147,Jim And Emma,NA,East Garfield Park,41.87878174843743,-87.70245420045644,Private room,33,32,24,2023-06-23,1.25,25,365,8,NA
